                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2887,                 4.1722,                 4.3286,                0.00218,                 0.6125,                0.00856,                0.00251,                 2.8447,                 4.0163,                 4.1568,                0.00032,                0.00032,                0.00032
                      2,                 3.3516,                 4.0173,                 4.1846,                0.00218,                 0.6125,                 0.0034,                0.00114,                  2.839,                 4.0335,                 4.1497,             0.00065891,             0.00065891,             0.00065891
                      3,                 3.3455,                 3.7661,                 4.0168,                0.00222,                  0.625,                0.00388,                 0.0012,                 2.8516,                 4.0472,                 4.1764,              0.0009967,              0.0009967,              0.0009967
                      4,                 3.0958,                 3.3228,                 3.7071,                0.00222,                  0.625,                0.00675,                0.00196,                 2.8065,                 3.9425,                 4.1469,              0.0013334,              0.0013334,              0.0013334
                      5,                 2.8825,                  3.008,                 3.4743,                0.04112,                 0.0625,                0.03436,                0.00836,                 2.6597,                 3.7153,                 3.7667,              0.0016689,              0.0016689,              0.0016689
                      6,                 2.7274,                 2.7079,                 3.3795,                0.03681,                 0.0375,                0.02191,                0.00453,                 3.0948,                 4.0002,                 7.9506,              0.0019835,              0.0019835,              0.0019835
                      7,                 2.6768,                 2.7945,                 3.3067,                0.00433,                 0.2375,                0.00199,                0.00073,                 3.5575,                 46.017,                 19.308,              0.0019802,              0.0019802,              0.0019802
                      8,                 2.4601,                 2.4903,                 3.1069,                0.10638,                  0.025,                0.00587,                 0.0016,                 3.4058,                 4.3182,                  30.47,              0.0019769,              0.0019769,              0.0019769
                      9,                 2.3155,                 2.3562,                 3.0129,                0.07551,                 0.0625,                0.01655,                0.00706,                 3.2948,                 4.0548,                 6.8737,              0.0019736,              0.0019736,              0.0019736
                     10,                 2.2644,                  2.252,                 2.9281,                0.12521,                  0.425,                0.22857,                0.07448,                 2.4581,                 26.412,                 3.6264,              0.0019703,              0.0019703,              0.0019703
                     11,                 2.2094,                 2.1541,                 2.9094,                 0.4117,                    0.5,                0.44832,                0.21102,                 2.1691,                 2.4605,                 3.0135,               0.001967,               0.001967,               0.001967
                     12,                  2.112,                 2.1026,                 2.7561,                0.61241,                 0.6125,                0.55923,                0.25175,                 1.9484,                 2.1193,                 3.0171,              0.0019637,              0.0019637,              0.0019637
                     13,                 2.0059,                 2.0849,                 2.7223,                 0.5544,                   0.55,                 0.5688,                0.26679,                 2.0521,                  4.464,                 3.1719,              0.0019604,              0.0019604,              0.0019604
                     14,                 2.0272,                 1.9552,                 2.7023,                0.62591,                 0.5229,                0.61888,                0.30737,                 1.7337,                  3.935,                 2.7033,              0.0019571,              0.0019571,              0.0019571
                     15,                  1.983,                 1.8627,                 2.6134,                0.62476,                0.58277,                0.64913,                0.35403,                 1.7866,                 3.0607,                 2.7412,              0.0019538,              0.0019538,              0.0019538
                     16,                 1.8165,                 1.7076,                 2.4203,                0.63653,                 0.3625,                0.50194,                0.24987,                  1.788,                 1.8874,                 2.5051,              0.0019505,              0.0019505,              0.0019505
                     17,                 1.7539,                 1.7416,                 2.4268,                0.44401,                  0.579,                0.53652,                0.28231,                 1.6201,                 1.9634,                  2.593,              0.0019472,              0.0019472,              0.0019472
                     18,                 1.7771,                 1.6063,                 2.4043,                0.46603,                  0.525,                0.52701,                0.27326,                 1.7716,                 2.0303,                 2.5527,              0.0019439,              0.0019439,              0.0019439
                     19,                 1.7314,                 1.6241,                 2.3405,                0.63657,                 0.5875,                0.69244,                0.38605,                  1.622,                 2.1413,                 2.4239,              0.0019406,              0.0019406,              0.0019406
                     20,                 1.6596,                 1.5256,                 2.2632,                0.58707,                  0.725,                0.73936,                0.46468,                 1.3688,                 1.4513,                 2.2056,              0.0019373,              0.0019373,              0.0019373
                     21,                  1.692,                 1.5868,                 2.3114,                0.75167,                 0.7125,                0.78686,                0.45897,                 1.4821,                  1.767,                 2.2499,               0.001934,               0.001934,               0.001934
                     22,                 1.6362,                 1.4989,                 2.2442,                0.70647,                    0.6,                0.71831,                0.51772,                 1.2798,                 1.3332,                 2.1122,              0.0019307,              0.0019307,              0.0019307
                     23,                 1.6343,                 1.5062,                 2.2664,                0.84218,                0.66711,                0.81293,                0.52908,                 1.3814,                 1.2359,                 2.2369,              0.0019274,              0.0019274,              0.0019274
                     24,                 1.5853,                 1.5734,                 2.2035,                0.82222,                   0.75,                0.80392,                0.51865,                 1.3438,                 1.4031,                 2.1164,              0.0019241,              0.0019241,              0.0019241
                     25,                 1.4275,                 1.3566,                 2.0378,                0.68415,                 0.6375,                0.71812,                0.49734,                 1.2478,                 1.2583,                 2.0272,              0.0019208,              0.0019208,              0.0019208
                     26,                 1.5197,                  1.407,                 2.0881,                0.84062,                  0.625,                0.79784,                0.50163,                 1.2927,                 1.4109,                  2.045,              0.0019175,              0.0019175,              0.0019175
                     27,                 1.4442,                 1.3502,                 2.0312,                0.85552,                  0.725,                0.83281,                0.58364,                 1.1905,                  1.317,                 1.9609,              0.0019142,              0.0019142,              0.0019142
                     28,                 1.3956,                 1.3319,                 1.9967,                0.95119,                 0.7308,                0.86279,                0.58358,                 1.1532,                 1.0918,                 1.9666,              0.0019109,              0.0019109,              0.0019109
                     29,                 1.3913,                 1.2739,                 1.9574,                0.86477,                0.79938,                0.84998,                0.60256,                 1.0959,                 1.0713,                 1.9123,              0.0019076,              0.0019076,              0.0019076
                     30,                 1.2964,                 1.1625,                 1.8825,                0.85675,                0.74765,                0.84621,                0.61075,                 1.1786,                 1.1349,                 1.9444,              0.0019043,              0.0019043,              0.0019043
                     31,                 1.3054,                 1.1815,                 1.9004,                0.83262,                0.74622,                0.85617,                0.57994,                 1.2356,                 1.1161,                 1.9229,               0.001901,               0.001901,               0.001901
                     32,                 1.3734,                 1.2044,                 1.9542,                0.92096,                 0.7125,                 0.8321,                0.59379,                 1.1195,                  1.022,                 1.8864,              0.0018977,              0.0018977,              0.0018977
                     33,                 1.3021,                 1.1774,                 1.8748,                0.86896,                    0.7,                0.85395,                0.60996,                 1.1106,                 1.5467,                  1.906,              0.0018944,              0.0018944,              0.0018944
                     34,                 1.3496,                  1.219,                 1.9076,                0.73732,                  0.775,                0.81738,                0.57534,                 1.1777,                 1.0127,                 1.9331,              0.0018911,              0.0018911,              0.0018911
                     35,                 1.3993,                 1.3149,                 1.9629,                0.83184,                 0.7375,                0.84919,                  0.595,                 1.1812,                 1.1555,                 1.9247,              0.0018878,              0.0018878,              0.0018878
                     36,                 1.3308,                 1.2033,                 1.9319,                0.87779,                 0.7125,                0.86227,                0.62139,                 1.0651,                 1.1901,                 1.7594,              0.0018845,              0.0018845,              0.0018845
                     37,                 1.3465,                 1.1681,                 1.9037,                0.83083,                   0.75,                0.84489,                0.62483,                 1.0331,                  1.088,                 1.7904,              0.0018812,              0.0018812,              0.0018812
                     38,                 1.2631,                 1.1168,                 1.8366,                0.85874,                 0.8375,                0.88085,                0.63193,                 1.1986,                 1.1367,                 1.8582,              0.0018779,              0.0018779,              0.0018779
                     39,                 1.2289,                 1.1073,                 1.8027,                0.91085,                  0.825,                0.91419,                0.64725,                  1.163,                  1.015,                 1.8303,              0.0018746,              0.0018746,              0.0018746
                     40,                 1.1645,                 1.0762,                 1.7853,                0.90146,                 0.7625,                0.87364,                0.63751,                 1.0472,                 1.0294,                 1.7861,              0.0018713,              0.0018713,              0.0018713
                     41,                 1.1283,                 1.0535,                 1.7354,                0.76544,                 0.7125,                0.79648,                0.58735,                0.99569,                 1.1159,                 1.7461,               0.001868,               0.001868,               0.001868
                     42,                 1.1742,                 1.0422,                 1.7267,                0.89663,                 0.7875,                0.88473,                0.67643,                0.96914,                0.89198,                  1.675,              0.0018647,              0.0018647,              0.0018647
                     43,                 1.1986,                 1.0616,                 1.7906,                0.81856,                    0.8,                0.82173,                0.59118,                 1.0859,                 1.1474,                 1.8707,              0.0018614,              0.0018614,              0.0018614
                     44,                 1.1395,                 1.0419,                 1.7588,                0.73888,                 0.7875,                0.80735,                0.56625,                 1.1179,                 1.0763,                 1.8685,              0.0018581,              0.0018581,              0.0018581
                     45,                 1.1454,                 1.0027,                 1.7148,                0.89795,                 0.7375,                0.85425,                0.63659,                 1.0581,                0.92765,                 1.7915,              0.0018548,              0.0018548,              0.0018548
                     46,                 1.2077,                 1.0494,                 1.7662,                0.90554,                 0.8375,                0.91309,                0.69528,                0.94096,                0.84132,                 1.6636,              0.0018515,              0.0018515,              0.0018515
                     47,                 1.0948,                 0.9422,                 1.6422,                0.91223,                   0.85,                 0.9207,                0.70195,                0.91297,                0.93919,                 1.5892,              0.0018482,              0.0018482,              0.0018482
                     48,                 1.0982,                0.97072,                 1.6613,                0.86426,                 0.7875,                 0.8866,                0.66917,                0.96652,                 1.1016,                 1.6802,              0.0018449,              0.0018449,              0.0018449
                     49,                 1.0685,                0.96846,                 1.6478,                0.92149,                 0.8125,                 0.9256,                0.69061,                0.89875,                0.88472,                 1.5989,              0.0018416,              0.0018416,              0.0018416
                     50,                 1.1266,                0.94059,                 1.6707,                0.88327,                 0.7875,                0.88205,                0.67687,                0.92953,                0.87708,                 1.6076,              0.0018383,              0.0018383,              0.0018383
                     51,                 1.0722,                 0.8838,                  1.629,                0.83157,                 0.8875,                0.90022,                0.72135,                0.82004,                0.81355,                 1.5042,               0.001835,               0.001835,               0.001835
                     52,                 1.0789,                0.90131,                 1.6336,                0.92089,                0.87307,                0.92883,                0.71218,                0.87787,                0.77244,                 1.5591,              0.0018317,              0.0018317,              0.0018317
                     53,                 1.0363,                0.89749,                 1.5849,                0.90884,                 0.8125,                0.89973,                0.68047,                0.99152,                0.88417,                  1.729,              0.0018284,              0.0018284,              0.0018284
                     54,                 1.0157,                 0.8738,                 1.5763,                0.87816,                 0.8125,                0.86445,                 0.6661,                0.92955,                0.93997,                 1.6057,              0.0018251,              0.0018251,              0.0018251
