                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59396,                 2.4133,                 1.0566,                0.82385,                 0.5625,                 0.7768,                0.66947,                 0.5171,                 2.4814,                0.95178,                 0.0003,                 0.0003,                 0.0003
                      2,                0.66751,                 1.3946,                 1.0492,                0.93245,                  0.675,                0.83959,                0.72371,                0.53843,                 1.9841,                 1.0376,             0.00061386,             0.00061386,             0.00061386
                      3,                  0.684,                 1.2764,                 1.0543,                0.84709,                0.48478,                0.77396,                0.56521,                0.80324,                 2.5303,                 1.2503,             0.00092139,             0.00092139,             0.00092139
                      4,                0.69113,                 1.2453,                 1.0527,                0.75419,                    0.7,                0.80079,                0.63438,                0.78032,                 1.8592,                 1.2897,              0.0012226,              0.0012226,              0.0012226
                      5,                0.66344,                  1.134,                 1.0335,                0.82135,                  0.525,                0.69796,                0.53168,                0.81989,                 2.0822,                 1.2304,              0.0015174,              0.0015174,              0.0015174
                      6,                0.72725,                 1.1308,                 1.0786,                0.66433,                    0.6,                0.66665,                0.48983,                0.82458,                 1.5984,                 1.1915,               0.001806,               0.001806,               0.001806
                      7,                 0.7065,                 1.0734,                 1.0823,                0.75078,                 0.6625,                0.75089,                0.59855,                0.76989,                 1.4368,                 1.1822,              0.0018812,              0.0018812,              0.0018812
                      8,                0.72509,                0.97046,                 1.0836,                0.77244,                   0.75,                 0.8217,                0.56201,                 1.0573,                 1.5447,                 1.9892,              0.0018812,              0.0018812,              0.0018812
                      9,                0.72033,                0.91713,                 1.0765,                0.93144,                0.67935,                0.81794,                0.61921,                0.84379,                 1.2178,                 1.3583,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.7388,                0.90401,                  1.081,                0.49518,                 0.4875,                0.51721,                0.36667,                0.99654,                 1.8523,                 1.3389,              0.0018416,              0.0018416,              0.0018416
                     11,                0.71455,                0.82953,                 1.0688,                0.85246,                0.79448,                0.87218,                0.69207,                0.72833,                 1.1366,                 1.1839,              0.0018218,              0.0018218,              0.0018218
