                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3486,                 4.2291,                 4.3216,                0.00218,                 0.6125,                0.00362,                0.00127,                 2.8449,                 4.0194,                 4.1565,                0.00032,                0.00032,                0.00032
                      2,                 3.2406,                  4.014,                 4.1889,                0.00213,                    0.6,                0.00331,                0.00107,                 2.8355,                 4.0307,                   4.15,             0.00065891,             0.00065891,             0.00065891
                      3,                 3.1416,                 3.6225,                 4.0003,                0.00222,                  0.625,                0.00376,                0.00124,                 2.8123,                 3.9991,                 4.1524,              0.0009967,              0.0009967,              0.0009967
