                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3608,                 1.1817,                 1.9366,                0.87588,                0.70572,                0.83969,                 0.6195,                 1.0907,                 1.0934,                 1.8937,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3726,                  1.269,                 1.9777,                0.96437,                0.67674,                0.82395,                0.60376,                 1.0779,                  1.174,                  1.912,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.272,                 1.1549,                 1.8634,                0.84302,                0.73839,                0.83892,                0.60617,                 1.1124,                 1.0929,                 1.9033,               0.001307,               0.001307,               0.001307
                     37,                 1.2938,                  1.148,                 1.8864,                 0.7793,                  0.775,                0.86719,                0.61825,                 1.0847,                 1.4649,                 1.8798,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2262,                 1.1131,                 1.8213,                0.82442,                  0.775,                0.85578,                0.64304,                 1.0388,                 1.0161,                 1.8444,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2409,                 1.1209,                 1.8332,                0.73366,                0.86082,                0.86167,                0.58783,                 1.1674,                 1.1834,                 1.9852,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1751,                 1.0783,                 1.8012,                 0.8511,                  0.825,                0.90058,                0.67643,                 0.9734,                0.91235,                 1.7834,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1411,                 1.0457,                 1.7655,                0.88327,                0.75673,                0.86146,                0.66369,                0.93393,                0.92941,                 1.7531,               0.001208,               0.001208,               0.001208
                     42,                 1.1863,                 1.0697,                 1.7846,                0.90868,                0.74631,                0.86208,                0.66184,                0.94388,                0.90091,                 1.6797,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2487,                 1.1385,                 1.8212,                0.89129,                 0.8125,                0.91174,                0.67713,                0.98928,                 1.0824,                 1.7159,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.135,                 1.0174,                 1.7384,                0.87325,                 0.8375,                0.88699,                0.67325,                0.93798,                 1.0297,                 1.6963,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.145,                0.97809,                 1.7112,                0.78292,                 0.8125,                0.84805,                0.63385,                 1.0095,                0.97476,                 1.7504,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.146,                  1.063,                 1.7222,                0.88701,                 0.8125,                 0.8881,                0.69685,                0.90952,                0.84485,                 1.6623,               0.001109,               0.001109,               0.001109
                     47,                 1.0694,                0.93633,                 1.6219,                0.92766,                 0.8625,                0.93393,                0.71782,                0.86655,                0.87897,                 1.6202,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1084,                0.95535,                  1.652,                0.86742,                0.89964,                0.93193,                 0.6938,                0.96875,                0.96111,                 1.6805,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1085,                 1.0128,                 1.6948,                0.84081,                0.85834,                0.89847,                0.67588,                0.97713,                0.90011,                 1.7465,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1379,                0.96726,                 1.6833,                0.88047,                  0.775,                0.86621,                0.68572,                0.87981,                0.82421,                 1.6474,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0266,                0.89545,                 1.6195,                0.89169,                  0.875,                0.92408,                0.71029,                 0.8697,                0.82453,                 1.6169,                0.00101,                0.00101,                0.00101
                     52,                 1.0664,                0.90486,                 1.6348,                0.88266,                  0.875,                0.92497,                0.74123,                0.83746,                 0.8416,                 1.5489,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0022,                 0.8841,                 1.5706,                0.90175,                   0.75,                0.86341,                0.68311,                0.84956,                0.91307,                 1.5971,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0052,                0.86545,                 1.6026,                0.88402,                 0.8375,                0.90295,                0.70693,                0.87911,                0.80288,                 1.6339,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0641,                0.91341,                  1.625,                0.87145,                0.84743,                0.89949,                0.72837,                0.81045,                0.78407,                 1.5483,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0253,                0.89638,                 1.6055,                0.92081,                 0.8125,                0.88554,                0.73719,                0.75788,                0.75345,                  1.535,               0.000911,               0.000911,               0.000911
                     57,                0.99396,                0.87242,                 1.5973,                0.89589,                0.86058,                0.91617,                0.73913,                0.79669,                0.75124,                 1.5206,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98454,                0.87894,                 1.5475,                0.91905,                 0.8375,                0.93137,                0.74625,                0.83146,                0.71383,                  1.586,              0.0008714,              0.0008714,              0.0008714
